host_species,host_phylum,host_class,host_order,host_family,host_in_gonzalos_list,diseases,has_pilot_disease,pilot_diseases,has_pilot_include_disease,pilot_include_diseases,Not_specified,PCR_Sequencing,Isolation_Observation,Antibodies,Any_PCR_Or_Observation
Abrothrix longipilis,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Andes hantavirus infection,FALSE,,FALSE,,0,1,0,0,1
Abrothrix olivaceus,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Andes hantavirus infection,FALSE,,FALSE,,0,0,0,1,0
Abrothrix sanborni,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Andes hantavirus infection,FALSE,,FALSE,,0,0,0,1,0
Acanthis flammea,Chordata,Aves,Passeriformes,Fringillidae,TRUE,Non-typhoidal salmonellosis,TRUE,Non-typhoidal salmonellosis,FALSE,,0,0,1,0,1
Acanthophis antarcticus,Chordata,Reptilia,Squamata,Elapidae,TRUE,Non-typhoidal salmonellosis,TRUE,Non-typhoidal salmonellosis,FALSE,,0,0,1,0,1
Accipiter cooperii,Chordata,Aves,Accipitriformes,Accipitridae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,4,3,0,7
Accipiter gentilis,Chordata,Aves,Accipitriformes,Accipitridae,TRUE,Q fever; Tularemia,FALSE,,FALSE,,0,1,0,1,1
Accipiter nisus,Chordata,Aves,Accipitriformes,Accipitridae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,3,1,0,4
Accipiter striatus,Chordata,Aves,Accipitriformes,Accipitridae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,3,0,0,3
Accipiter trivirgatus,Chordata,Aves,Accipitriformes,Accipitridae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Acerodon celebensis,Chordata,Mammalia,Chiroptera,Pteropodidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Acinonyx jubatus,Chordata,Mammalia,Carnivora,Felidae,TRUE,African horse sickness; Anthrax; Bluetongue; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Rabies; Rift Valley fever; Severe fever with thrombocytopenia syndrome (SFTS),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Rift Valley fever; Severe fever with thrombocytopenia syndrome (SFTS),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Rift Valley fever,0,5,1,5,6
Acomys cahirinus,Chordata,Mammalia,Rodentia,Muridae,FALSE,Rift Valley fever; West Nile fever,TRUE,Rift Valley fever; West Nile fever,TRUE,Rift Valley fever; West Nile fever,0,0,0,2,0
Acomys dimidiatus,Chordata,Mammalia,Rodentia,Muridae,FALSE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,0,0,1,0
Acrocephalus dumetorum,Chordata,Aves,Passeriformes,Acrocephalidae,TRUE,Tick-borne encephalitis; West Nile fever,TRUE,Tick-borne encephalitis; West Nile fever,TRUE,Tick-borne encephalitis; West Nile fever,0,2,1,0,3
Actitis hypoleucos,Chordata,Aves,Charadriiformes,Scolopacidae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Actitis macularius,Chordata,Aves,Charadriiformes,Scolopacidae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,1,0,2
Addax nasomaculatus,Chordata,Mammalia,Artiodactyla,Bovidae,FALSE,Bluetongue,FALSE,,FALSE,,0,0,1,0,1
Aechmophorus occidentalis,Chordata,Aves,Podicipediformes,Podicipedidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Aegithalos caudatus,Chordata,Aves,Passeriformes,Aegithalidae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
Aegypius monachus,Chordata,Aves,Accipitriformes,Accipitridae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,4,0,0,4
Aepyceros melampus,Chordata,Mammalia,Artiodactyla,Bovidae,FALSE,Anthrax; Bluetongue; Crimean-Congo hemorrhagic fever; Lumpy skin disease; Rift Valley fever,TRUE,Crimean-Congo hemorrhagic fever; Rift Valley fever,TRUE,Crimean-Congo hemorrhagic fever; Rift Valley fever,1,0,1,4,1
Aethomys kaiseri,Chordata,Mammalia,Rodentia,Muridae,FALSE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,0,0,1,0
Agelaius phoeniceus,Chordata,Aves,Passeriformes,Icteridae,TRUE,Brazilian spotted fever; Q fever; West Nile fever; Western equine encephalitis,TRUE,West Nile fever,TRUE,West Nile fever,0,2,1,3,3
Agelaius tricolor,Chordata,Aves,Passeriformes,Icteridae,FALSE,Saint Louis encephalitis,FALSE,,FALSE,,0,0,0,1,0
Agkistrodon contortrix,Chordata,Lepidosauria,Squamata,Viperidae,FALSE,Eastern equine encephalitis,FALSE,,FALSE,,0,0,0,1,0
Agkistrodon piscivorus,Chordata,Lepidosauria,Squamata,Viperidae,FALSE,Eastern equine encephalitis,FALSE,,FALSE,,0,0,0,1,0
Agropsar sturninus,Chordata,Aves,Passeriformes,Sturnidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Ailuropoda melanoleuca,Chordata,Mammalia,Carnivora,Ursidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Ailurus fulgens,Chordata,Mammalia,Carnivora,Ailuridae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,0,0,1,0
Aix galericulata,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Japanese encephalitis,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,1,4
Aix sponsa,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,2,0,6
Akodon azarae,Chordata,Mammalia,Rodentia,Cricetidae,TRUE,Andes hantavirus infection; Argentine hemorrhagic fever,TRUE,Argentine hemorrhagic fever,TRUE,Argentine hemorrhagic fever,0,1,1,1,2
Akodon cursor,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Andes hantavirus infection,FALSE,,FALSE,,0,1,0,0,1
Akodon montensis,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Andes hantavirus infection; Saint Louis encephalitis,FALSE,,FALSE,,0,1,1,0,2
Akodon paranaensis,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Andes hantavirus infection,FALSE,,FALSE,,0,1,0,1,1
Akodon varius,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Andes hantavirus infection,FALSE,,FALSE,,0,0,0,1,0
Alca torda,Chordata,Aves,Charadriiformes,Alcidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Alcedo atthis,Chordata,Aves,Coraciiformes,Alcedinidae,FALSE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,0,0,1,0
Alcelaphus buselaphus,Chordata,Mammalia,Artiodactyla,Bovidae,FALSE,Anthrax; Bluetongue; Crimean-Congo hemorrhagic fever,TRUE,Crimean-Congo hemorrhagic fever,TRUE,Crimean-Congo hemorrhagic fever,0,0,1,2,1
Alces alces,Chordata,Mammalia,Artiodactyla,Cervidae,TRUE,Anthrax; Hepatitis E; Klebsiella infection (pneumonia sepsis); Q fever; Rabies; Saint Louis encephalitis; Tick-borne encephalitis; Tularemia,TRUE,Hepatitis E; Tick-borne encephalitis,TRUE,Hepatitis E; Tick-borne encephalitis,3,3,0,3,3
Alces americanus,Chordata,Mammalia,Artiodactyla,Cervidae,FALSE,Eastern equine encephalitis,FALSE,,FALSE,,0,0,0,1,0
Alectoris barbara,Chordata,Aves,Galliformes,Phasianidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Alectoris chukar,Chordata,Aves,Galliformes,Phasianidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,2,0,6
Alectoris graeca,Chordata,Aves,Galliformes,Phasianidae,TRUE,Eastern equine encephalitis; West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,1,0,2
Alectoris rufa,Chordata,Aves,Galliformes,Phasianidae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
Alexandromys fortis,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Hemorrhagic fever with renal syndrome (Hantaan virus); Tick-borne encephalitis,TRUE,Hemorrhagic fever with renal syndrome (Hantaan virus); Tick-borne encephalitis,TRUE,Hemorrhagic fever with renal syndrome (Hantaan virus); Tick-borne encephalitis,0,2,0,0,2
Alexandromys maximowiczii,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,0,2,1,0,3
Alexandromys oeconomus,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Omsk hemorrhagic fever; Tick-borne encephalitis,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,0,3,2,0,5
Allactaga sibirica,Chordata,Mammalia,Rodentia,Dipodidae,TRUE,Plague,TRUE,Plague,TRUE,Plague,0,0,1,0,1
Allenopithecus nigroviridis,Chordata,Mammalia,Primates,Cercopithecidae,FALSE,Mpox (Monkeypox),TRUE,Mpox (Monkeypox),FALSE,,1,0,0,1,0
Alligator mississippiensis,Chordata,Reptilia,Crocodylia,Alligatoridae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
Alligator sinensis,Chordata,Reptilia,Crocodylia,Alligatoridae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Alopochen aegyptiaca,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,5,0,0,5
Alouatta belzebul,Chordata,Mammalia,Primates,Atelidae,TRUE,Mayaro virus disease; Saint Louis encephalitis; Yellow fever,TRUE,Yellow fever,TRUE,Yellow fever,1,0,1,2,1
Alouatta caraya,Chordata,Mammalia,Primates,Atelidae,TRUE,Chagas disease; Saint Louis encephalitis; Yellow fever,TRUE,Yellow fever,TRUE,Yellow fever,2,2,2,2,4
Alouatta guariba,Chordata,Mammalia,Primates,Atelidae,TRUE,Yellow fever; Zika virus disease,TRUE,Yellow fever; Zika virus disease,TRUE,Yellow fever; Zika virus disease,1,3,1,0,4
Alouatta palliata,Chordata,Mammalia,Primates,Atelidae,TRUE,Chagas disease; Yellow fever,TRUE,Yellow fever,TRUE,Yellow fever,0,0,0,2,0
Alouatta pigra,Chordata,Mammalia,Primates,Atelidae,TRUE,Chagas disease; Mayaro virus disease; Non-typhoidal salmonellosis; Saint Louis encephalitis; Yellow fever,TRUE,Non-typhoidal salmonellosis; Yellow fever,TRUE,Yellow fever,1,0,1,4,1
Alouatta sara,Chordata,Mammalia,Primates,Atelidae,TRUE,Yellow fever,TRUE,Yellow fever,TRUE,Yellow fever,0,2,0,0,2
Alouatta seniculus,Chordata,Mammalia,Primates,Atelidae,TRUE,Chagas disease; Mayaro virus disease; Yellow fever,TRUE,Yellow fever,TRUE,Yellow fever,1,2,2,2,4
Alticola argentatus,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,0,0,0,1,0
Amazona aestiva,Chordata,Aves,Psittaciformes,Psittacidae,TRUE,Non-typhoidal salmonellosis,TRUE,Non-typhoidal salmonellosis,FALSE,,0,0,1,0,1
Amazona albifrons,Chordata,Aves,Psittaciformes,Psittacidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Melioidosis,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,1,0,3
Amazona autumnalis,Chordata,Aves,Psittaciformes,Psittacidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,0,2,0,2
Amazona oratrix,Chordata,Aves,Psittaciformes,Psittacidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Amazonetta brasiliensis,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Amblycercus holosericeus,Chordata,Aves,Passeriformes,Icteridae,FALSE,Rocio virus encephalitis,FALSE,,FALSE,,0,0,0,1,0
Ammospermophilus nelsoni,Chordata,Mammalia,Rodentia,Sciuridae,FALSE,Saint Louis encephalitis; Western equine encephalitis,FALSE,,FALSE,,0,0,1,1,1
Ammotragus lervia,Chordata,Mammalia,Artiodactyla,Bovidae,FALSE,Bluetongue,FALSE,,FALSE,,0,0,0,1,0
Amphibolurus muricatus,Chordata,Reptilia,Squamata,Agamidae,TRUE,Non-typhoidal salmonellosis,TRUE,Non-typhoidal salmonellosis,FALSE,,0,0,1,0,1
Amphiprion nigripes,Chordata,Actinopterygii,Not assigned,Pomacentridae,FALSE,Klebsiella infection (pneumonia sepsis),FALSE,,FALSE,,0,1,0,0,1
Anarhynchus collaris,Chordata,Aves,Charadriiformes,Charadriidae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Anarhynchus nivosus,Chordata,Aves,Charadriiformes,Charadriidae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Anas acuta,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Japanese encephalitis,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,2,1,6
Anas capensis,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Anas carolinensis,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Anas castanea,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Anas crecca,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Japanese encephalitis; Tick-borne encephalitis; Tularemia,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis,0,5,0,4,5
Anas diazi,Chordata,Aves,Anseriformes,Anatidae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Anas erythrorhyncha,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Anas flavirostris,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Anas fulvigula,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Anas georgica,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Anas gibberifrons,Chordata,Aves,Anseriformes,Anatidae,FALSE,Murray Valley encephalitis,FALSE,,FALSE,,0,0,0,1,0
Anas gracilis,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Anas platyrhynchos,Chordata,Aves,Anseriformes,Anatidae,TRUE,Borna disease (encephalitis); Cholera; Eastern equine encephalitis; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Japanese encephalitis; Q fever; Tick-borne encephalitis; Tularemia; West Nile fever,TRUE,Borna disease (encephalitis); Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis; West Nile fever,2,12,4,2,16
Anas poecilorhyncha,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Japanese encephalitis,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,2,1,6
Anas rubripes,Chordata,Aves,Anseriformes,Anatidae,TRUE,Eastern equine encephalitis; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,2,1,6
Anas superciliosa,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Murray Valley encephalitis,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,1,4
Anas undulata,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Anas zonorhyncha,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Anastomus oscitans,Chordata,Aves,Ciconiiformes,Ciconiidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Anhinga melanogaster,Chordata,Aves,Suliformes,Anhingidae,FALSE,Murray Valley encephalitis,FALSE,,FALSE,,0,0,0,1,0
Anoura caudifer,Chordata,Mammalia,Chiroptera,Phyllostomidae,FALSE,Rabies,FALSE,,FALSE,,1,0,0,0,0
Anoura geoffroyi,Chordata,Mammalia,Chiroptera,Phyllostomidae,FALSE,Dengue; Rabies; Rocio virus encephalitis; Saint Louis encephalitis,TRUE,Dengue,TRUE,Dengue,1,0,0,3,0
Anourosorex squamipes,Chordata,Mammalia,Eulipotyphla,Soricidae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Rabies,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,3,0,0,3
Anous stolidus,Chordata,Aves,Charadriiformes,Laridae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tularemia,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,1,2
Anous tenuirostris,Chordata,Aves,Charadriiformes,Laridae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tularemia,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,1,2
Anser albifrons,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,2,0,6
Anser anser,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Non-typhoidal salmonellosis; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Non-typhoidal salmonellosis; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,3,5,3,0,8
Anser brachyrhynchus,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Anser caerulescens,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,8,2,0,10
Anser canagicus,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Anser cygnoides,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Anser erythropus,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Anser fabalis,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Anser indicus,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,5,2,0,7
Anser rossii,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
